Table with row headers in column A and column headers in rows 4 through 6,,,,,,,,,,,,
"Table A-3.
Poverty Status of People by Age, Race, and Hispanic Origin: 1959 to 2022",,,,,,,,,,,,
"(Population in thousands. Population as of March of the following year. Information on confidentiality protection, sampling error, nonsampling error, and definitions is available at <https://www2.census.gov/programs-surveys/cps/techdocs/cpsmar23.pdf>)",,,,,,,,,,,,
2011,"241,300","30,850",12.8,"54,190","10,100",18.6,"151,400","18,010",11.9,"35,730","2,739",7.7
20105,"240,000","31,080",13.0,"54,490","10,090",18.5,"151,200","18,350",12.1,"34,270","2,638",7.7
2009,"242,000","29,830",12.3,"56,270","9,938",17.7,"152,400","17,390",11.4,"33,410","2,501",7.5
2008,"240,500","26,990",11.2,"56,150","8,863",15.8,"151,700","15,360",10.1,"32,710","2,771",8.5
2007,"239,100","25,120",10.5,"56,420","8,395",14.9,"150,900","14,140",9.4,"31,840","2,590",8.1
2006,"237,600","24,420",10.3,"56,210","7,908",14.1,"150,100","14,040",9.3,"31,270","2,473",7.9
2005,"235,400","24,870",10.6,"56,080","8,085",14.4,"148,500","14,090",9.5,"30,910","2,700",8.7
20046,"233,700","25,330",10.8,"56,050","8,308",14.8,"147,000","14,490",9.9,"30,710","2,534",8.3
2003,"231,900","24,270",10.5,"55,780","7,985",14.3,"145,800","13,620",9.3,"30,300","2,666",8.8
2002,"230,400","23,470",10.2,"55,700","7,549",13.6,"144,700","13,180",9.1,"29,980","2,739",9.1
WHITE24,,,,,,,,,,,,
2001,"229,700","22,740",9.9,"56,090","7,527",13.4,"143,800","12,560",8.7,"29,790","2,656",8.9
20007,"227,800","21,650",9.5,"55,980","7,307",13.1,"142,200","11,750",8.3,"29,700","2,584",8.7
19998,"225,400","22,170",9.8,"55,830","7,639",13.7,"140,000","12,090",8.6,"29,550","2,446",8.3
1998,"222,800","23,450",10.5,"56,020","8,443",15.1,"138,100","12,460",9.0,"28,760","2,555",8.9
1997,"221,200","24,400",11.0,"55,860","8,990",16.1,"136,800","12,840",9.4,"28,550","2,569",9.0
1996,"219,700","24,650",11.2,"55,610","9,044",16.3,"135,600","12,940",9.5,"28,460","2,667",9.4
19959,"218,000","24,420",11.2,"55,440","8,981",16.2,"134,100","12,870",9.6,"28,440","2,572",9.0
199410,"216,500","25,380",11.7,"55,190","9,346",16.9,"133,300","13,190",9.9,"27,990","2,846",10.2
199311,"214,900","26,230",12.2,"54,640","9,752",17.8,"132,700","13,540",10.2,"27,580","2,939",10.7
199212,"213,100","25,260",11.9,"54,110","9,399",17.4,"131,700","12,870",9.8,"27,260","2,989",11.0
199113,"210,100","23,750",11.3,"52,520","8,848",16.8,"130,300","12,100",9.3,"27,300","2,802",10.3
1990,"208,600","22,330",10.7,"51,930","8,232",15.9,"129,800","11,390",8.8,"26,900","2,707",10.1
1989,"206,900","20,790",10.0,"51,400","7,599",14.8,"129,000","10,650",8.3,"26,480","2,539",9.6
198814,"205,200","20,720",10.1,"51,200","7,435",14.5,"128,000","10,690",8.3,"26,000","2,593",10.0
198714,"203,600","21,200",10.4,"51,010","7,788",15.3,"127,000","10,700",8.4,"25,600","2,704",10.6
1986,"202,300","22,180",11.0,"51,110","8,209",16.1,"126,000","11,290",9.0,"25,170","2,689",10.7
198515,"200,900","22,860",11.4,"51,030","8,253",16.2,"125,300","11,910",9.5,"24,630","2,698",11.0
198416,"198,900","22,960",11.5,"50,810","8,472",16.7,"123,900","11,900",9.6,"24,210","2,579",10.7
1983,"197,500","23,980",12.1,"50,730","8,862",17.5,"123,000","12,350",10.0,"23,750","2,776",11.7
1982,"195,900","23,520",12.0,"50,920","8,678",17.0,"121,800","11,970",9.8,"23,230","2,870",12.4
198117,"194,500","21,550",11.1,"51,140","7,785",15.2,"120,600","10,790",8.9,"22,790","2,978",13.1
1980,"192,900","19,700",10.2,"51,650","7,181",13.9,"118,900","9,478",8.0,"22,330","3,042",13.6
197918,"191,700","17,210",9.0,"52,260","6,193",11.8,"117,600","8,110",6.9,"21,900","2,911",13.3
1978,"186,500","16,260",8.7,"51,670","5,831",11.3,"113,800","7,897",6.9,"20,950","2,530",12.1
1977,"185,300","16,420",8.9,"52,560","6,097",11.6,"112,400","7,893",7.0,"20,320","2,426",11.9
1976,"184,200","16,710",9.1,"53,430","6,189",11.6,"110,700","7,890",7.1,"20,020","2,633",13.2
1975,"183,200","17,770",9.7,"54,410","6,927",12.7,"109,100","8,210",7.5,"19,650","2,634",13.4
197419,"182,400","15,740",8.6,"55,590","6,223",11.2,"107,600","7,053",6.6,"19,210","2,460",12.8
1973,"181,200","15,140",8.4,N,N,N,N,N,N,N,"2,698",14.4
197220,"180,100","16,200",9.0,N,N,N,N,N,N,N,"3,072",16.8
197121,"179,400","17,780",9.9,N,N,N,N,N,N,N,"3,605",19.9
1970,"177,400","17,480",9.9,N,N,N,N,N,N,N,"4,011",22.6
1969,"175,300","16,660",9.5,N,N,N,N,N,N,N,"4,052",23.3
1968,"173,700","17,400",10.0,N,N,N,N,N,N,"17,060","3,939",23.1
196722,"172,000","18,980",11.0,N,N,N,N,N,N,"16,790","4,646",27.7
1966,"170,200","19,290",11.3,N,N,N,N,N,N,"16,510","4,357",26.4
1965,"168,700","22,500",13.3,N,N,N,N,N,N,N,N,N
1960,"158,900","28,310",17.8,N,N,N,N,N,N,N,N,N
1959,"157,000","28,480",18.1,N,N,N,N,N,N,N,"4,744",33.1
"WHITE ALONE, NOT HISPANIC23",,,,,,,,,,,,
2022,"193,200","16,690",8.6,"34,930","3,371",9.7,"115,300","9,805",8.5,"42,970","3,510",8.2
2021,"194,300","15,810",8.1,"35,900","3,162",8.8,"116,600","9,289",8.0,"41,850","3,354",8.0
20201,"195,100","16,040",8.2,"36,450","3,593",9.9,"117,800","9,677",8.2,"40,860","2,768",6.8
2019,"194,600","14,150",7.3,"36,390","3,030",8.3,"116,800","8,321",7.1,"41,440","2,801",6.8
2018,"194,800","15,730",8.1,"36,620","3,265",8.9,"118,000","9,510",8.1,"40,220","2,951",7.3
20172,"195,200","16,620",8.5,"37,120","3,793",10.2,"119,000","9,884",8.3,"39,130","2,942",7.5
2017,"195,300","16,990",8.7,"37,050","4,026",10.9,"119,100","10,230",8.6,"39,130","2,737",7.0
2016,"195,200","17,260",8.8,"37,490","4,050",10.8,"119,800","10,530",8.8,"37,950","2,687",7.1
2015,"195,500","17,790",9.1,"37,860","4,563",12.1,"120,900","10,810",8.9,"36,680","2,411",6.6
2014,"195,200","19,650",10.1,"38,060","4,679",12.3,"121,400","12,170",10.0,"35,730","2,801",7.8
20133,"195,100","19,550",10.0,"38,170","5,116",13.4,"121,600","11,690",9.6,"35,320","2,745",7.8
20134,"195,200","18,800",9.6,"38,400","4,094",10.7,"122,000","12,130",9.9,"34,780","2,569",7.4
2012,"195,100","18,940",9.7,"38,760","4,782",12.3,"122,200","11,830",9.7,"34,130","2,324",6.8
2011,"195,000","19,170",9.8,"38,960","4,850",12.5,"123,100","12,110",9.8,"32,900","2,210",6.7
20105,"194,800","19,250",9.9,"39,440","4,866",12.3,"123,700","12,230",9.9,"31,620","2,155",6.8
2009,"197,200","18,530",9.4,"40,920","4,850",11.9,"125,500","11,660",9.3,"30,740","2,022",6.6
2008,"196,900","17,020",8.6,"41,310","4,364",10.6,"125,500","10,380",8.3,"30,150","2,280",7.6
2007,"196,600","16,030",8.2,"41,980","4,255",10.1,"125,200","9,598",7.7,"29,440","2,179",7.4
2006,"196,000","16,010",8.2,"42,210","4,208",10.0,"124,800","9,761",7.8,"28,990","2,044",7.0
2005,"195,600","16,230",8.3,"42,520","4,254",10.0,"124,300","9,708",7.8,"28,700","2,264",7.9
20046,"195,100","16,910",8.7,"42,980","4,519",10.5,"123,500","10,240",8.3,"28,640","2,153",7.5
2003,"194,600","15,900",8.2,"43,150","4,233",9.8,"123,100","9,391",7.6,"28,340","2,277",8.0
2002,"194,100","15,570",8.0,"43,610","4,090",9.4,"122,500","9,157",7.5,"28,020","2,321",8.3
"WHITE, NOT HISPANIC24",,,,,,,,,,,,
2001,"194,500","15,270",7.8,"44,100","4,194",9.5,"122,500","8,811",7.2,"27,970","2,266",8.1
20007,"193,700","14,370",7.4,"44,240","4,018",9.1,"121,500","8,130",6.7,"27,950","2,218",7.9
19998,"192,600","14,740",7.7,"44,270","4,155",9.4,"120,300","8,462",7.0,"27,950","2,118",7.6
1998,"192,800","15,800",8.2,"45,360","4,822",10.6,"120,300","8,760",7.3,"27,120","2,217",8.2
1997,"191,900","16,490",8.6,"45,490","5,204",11.4,"119,400","9,088",7.6,"27,000","2,200",8.1
1996,"191,500","16,460",8.6,"45,610","5,072",11.1,"118,800","9,074",7.6,"27,030","2,316",8.6
19959,"191,000","16,270",8.5,"45,690","5,115",11.2,"118,200","8,908",7.5,"27,030","2,243",8.3
199410,"192,500","18,110",9.4,"46,670","5,823",12.5,"119,200","9,732",8.2,"26,680","2,556",9.6
199311,"190,800","18,880",9.9,"46,100","6,255",13.6,"118,500","9,964",8.4,"26,270","2,663",10.1
199212,"189,000","18,200",9.6,"45,590","6,017",13.2,"117,400","9,461",8.1,"26,030","2,724",10.5
199113,"189,100","17,740",9.4,"45,240","5,918",13.1,"117,700","9,244",7.9,"26,210","2,580",9.8
1990,"188,100","16,620",8.8,"44,800","5,532",12.3,"117,500","8,619",7.3,"25,850","2,471",9.6
1989,"187,000","15,600",8.3,"44,490","5,110",11.5,"117,000","8,154",7.0,"25,500","2,335",9.2
198814,"186,000","15,570",8.4,"44,440","4,888",11.0,"116,500","8,293",7.1,"25,040","2,384",9.5
198714,"184,900","16,030",8.7,"44,460","5,230",11.8,"115,700","8,327",7.2,"24,750","2,472",10.0
1986,"184,100","17,240",9.4,"44,660","5,789",13.0,"115,200","8,963",7.8,"24,300","2,492",10.3
198515,"183,500","17,840",9.7,"44,750","5,745",12.8,"115,000","9,608",8.4,"23,730","2,486",10.5
198416,"182,500","18,300",10.0,"44,890","6,156",13.7,"114,200","9,734",8.5,"23,400","2,410",10.3
1983,"181,400","19,540",10.8,"44,830","6,649",14.8,"113,600","10,280",9.1,"22,990","2,610",11.4
1982,"181,900","19,360",10.6,"45,530","6,566",14.4,"113,700","10,080",8.9,"22,660","2,714",12.0
198117,"180,900","17,990",9.9,"45,950","5,946",12.9,"112,700","9,207",8.2,"22,240","2,834",12.7
1980,"179,800","16,370",9.1,"46,580","5,510",11.8,"111,500","7,990",7.2,"21,760","2,865",13.2
197918,"178,800","14,420",8.1,"46,970","4,730",10.1,"110,500","6,930",6.3,"21,340","2,759",12.9
1978,"174,700","13,760",7.9,"46,820","4,506",9.6,"107,500","6,837",6.4,"20,430","2,412",11.8
1977,"173,600","13,800",8.0,"47,690","4,714",9.9,"106,100","6,772",6.4,"19,810","2,316",11.7
1976,"173,200","14,030",8.1,"48,820","4,799",9.8,"104,800","6,720",6.4,"19,570","2,506",12.8
1975,"172,400","14,880",8.6,"49,670","5,342",10.8,"103,500","7,039",6.8,"19,250","2,503",13.0
197419,"171,500","13,220",7.7,"50,760","4,820",9.5,"101,900","6,051",5.9,"18,810","2,346",12.5
BLACK ALONE OR IN COMBINATION,,,,,,,,,,,,
2022,"49,100","8,353",17.0,"13,540","2,929",21.6,"29,460","4,353",14.8,"6,097","1,070",17.5
2021,"48,230","9,298",19.3,"13,440","3,484",25.9,"28,940","4,776",16.5,"5,845","1,038",17.8
20201,"48,260","9,311",19.3,"13,570","3,575",26.3,"29,200","4,797",16.4,"5,487",939,17.1
2019,"47,260","8,836",18.7,"13,020","3,338",25.6,"28,840","4,531",15.7,"5,394",966,17.9
2018,"46,830","9,695",20.7,"13,220","3,773",28.5,"28,420","4,948",17.4,"5,180",975,18.8
20172,"46,340","10,050",21.7,"13,160","3,903",29.7,"28,230","5,216",18.5,"4,942",930,18.8
2017,"46,390","9,820",21.2,"13,190","3,731",28.3,"28,250","5,142",18.2,"4,952",948,19.1
2016,"45,680","9,965",21.8,"13,190","3,916",29.7,"27,830","5,186",18.6,"4,660",864,18.5
2015,"45,230","10,800",23.9,"13,130","4,146",31.6,"27,650","5,835",21.1,"4,447",816,18.4
2014,"44,570","11,580",26.0,"12,880","4,639",36.0,"27,440","6,137",22.4,"4,249",805,19.0
20133,"44,150","11,160",25.3,"13,040","4,359",33.4,"27,060","6,031",22.3,"4,054",772,19.0
20134,"44,110","11,960",27.1,"13,100","4,838",36.9,"26,920","6,410",23.8,"4,085",712,17.4
2012,"43,580","11,810",27.1,"13,110","4,815",36.7,"26,480","6,265",23.7,"3,993",730,18.3
2011,"42,650","11,730",27.5,"12,970","4,849",37.4,"25,960","6,241",24.0,"3,718",640,17.2
20105,"42,390","11,600",27.4,"13,020","4,923",37.8,"25,820","6,031",23.4,"3,555",643,18.1
2009,"40,880","10,580",25.9,"12,660","4,480",35.4,"24,820","5,441",21.9,"3,405",655,19.2
2008,"40,100","9,882",24.6,"12,390","4,202",33.9,"24,400","5,017",20.6,"3,305",663,20.0
2007,"39,560","9,668",24.4,"12,380","4,178",33.7,"23,970","4,742",19.8,"3,215",748,23.3
2006,"39,010","9,447",24.2,"12,380","4,086",33.0,"23,510","4,652",19.8,"3,128",710,22.7
2005,"38,550","9,517",24.7,"12,160","4,074",33.5,"23,340","4,735",20.3,"3,053",708,23.2
20046,"38,040","9,411",24.7,"12,190","4,059",33.3,"22,840","4,638",20.3,"3,005",714,23.8
2003,"37,500","9,108",24.3,"12,220","4,108",33.6,"22,360","4,313",19.3,"2,933",688,23.5
2002,"37,210","8,884",23.9,"12,110","3,817",31.5,"22,170","4,376",19.7,"2,922",691,23.6
BLACK ALONE25,,,,,,,,,,,,
2022,"44,520","7,626",17.1,"11,170","2,491",22.3,"27,450","4,097",14.9,"5,897","1,038",17.6
2021,"43,980","8,583",19.5,"11,190","3,056",27.3,"27,110","4,519",16.7,"5,675","1,008",17.8
20201,"43,690","8,556",19.6,"11,170","3,086",27.6,"27,200","4,552",16.7,"5,328",919,17.2
2019,"42,970","8,073",18.8,"10,850","2,865",26.4,"26,860","4,261",15.9,"5,257",947,18.0
2018,"42,770","8,884",20.8,"11,080","3,273",29.5,"26,640","4,660",17.5,"5,045",951,18.9
20172,"42,480","9,224",21.7,"11,010","3,350",30.4,"26,650","4,960",18.6,"4,827",915,19.0
2017,"42,470","8,993",21.2,"10,990","3,184",29.0,"26,650","4,877",18.3,"4,834",932,19.3
2016,"41,960","9,234",22.0,"11,120","3,418",30.8,"26,290","4,963",18.9,"4,561",853,18.7
2015,"41,630","10,020",24.1,"11,090","3,651",32.9,"26,190","5,568",21.3,"4,343",801,18.4
2014,"41,110","10,760",26.2,"11,020","4,090",37.1,"25,950","5,869",22.6,"4,143",796,19.2
20133,"40,500","10,190",25.2,"11,000","3,708",33.7,"25,560","5,742",22.5,"3,933",736,18.7
20134,"40,620","11,040",27.2,"11,090","4,244",38.3,"25,550","6,099",23.9,"3,975",698,17.6
2012,"40,130","10,910",27.2,"11,080","4,201",37.9,"25,150","6,002",23.9,"3,893",708,18.2
2011,"39,610","10,930",27.6,"11,140","4,320",38.8,"24,830","5,980",24.1,"3,640",630,17.3
20105,"39,280","10,750",27.4,"11,170","4,355",39.0,"24,670","5,775",23.4,"3,443",617,17.9
2009,"38,560","9,944",25.8,"11,280","4,033",35.7,"23,950","5,264",22.0,"3,320",647,19.5
2008,"37,970","9,379",24.7,"11,170","3,878",34.7,"23,570","4,855",20.6,"3,229",646,20.0
2007,"37,670","9,237",24.5,"11,300","3,904",34.5,"23,210","4,602",19.8,"3,150",731,23.2
2006,"37,310","9,048",24.3,"11,320","3,777",33.4,"22,910","4,570",19.9,"3,085",701,22.7
2005,"36,800","9,168",24.9,"11,140","3,841",34.5,"22,660","4,627",20.4,"3,007",701,23.3
20046,"36,430","9,014",24.7,"11,240","3,788",33.7,"22,230","4,521",20.3,"2,956",705,23.8
2003,"35,990","8,781",24.4,"11,370","3,877",34.1,"21,750","4,224",19.4,"2,876",680,23.7
2002,"35,680","8,602",24.1,"11,280","3,645",32.3,"21,550","4,277",19.9,"2,856",680,23.8
BLACK24,,,,,,,,,,,,
2001,"35,870","8,136",22.7,"11,560","3,492",30.2,"21,460","4,018",18.7,"2,853",626,21.9
20007,"35,430","7,982",22.5,"11,480","3,581",31.2,"21,160","3,794",17.9,"2,785",607,21.8
19998,"35,760","8,441",23.6,"11,490","3,813",33.2,"21,520","4,000",18.6,"2,750",628,22.8
1998,"34,880","9,091",26.1,"11,320","4,151",36.7,"20,840","4,222",20.3,"2,723",718,26.4
1997,"34,460","9,116",26.5,"11,370","4,225",37.2,"20,400","4,191",20.5,"2,691",700,26.0
1996,"34,110","9,694",28.4,"11,340","4,519",39.9,"20,160","4,515",22.4,"2,616",661,25.3
19959,"33,740","9,872",29.3,"11,370","4,761",41.9,"19,890","4,483",22.5,"2,478",629,25.4
199410,"33,350","10,200",30.6,"11,210","4,906",43.8,"19,590","4,590",23.4,"2,557",700,27.4
199311,"32,910","10,880",33.1,"11,130","5,125",46.1,"19,270","5,049",26.2,"2,510",702,28.0
199212,"32,410","10,830",33.4,"10,960","5,106",46.6,"18,950","4,884",25.8,"2,504",838,33.5
199113,"31,310","10,240",32.7,"10,350","4,755",45.9,"18,360","4,607",25.1,"2,606",880,33.8
1990,"30,810","9,837",31.9,"10,160","4,550",44.8,"18,100","4,427",24.5,"2,547",860,33.8
1989,"30,330","9,302",30.7,"10,010","4,375",43.7,"17,830","4,164",23.3,"2,487",763,30.7
198814,"29,850","9,356",31.3,"9,865","4,296",43.5,"17,550","4,275",24.4,"2,436",785,32.2
198714,"29,360","9,520",32.4,"9,730","4,385",45.1,"17,250","4,361",25.3,"2,387",774,32.4
1986,"28,870","8,983",31.1,"9,629","4,148",43.1,"16,910","4,113",24.3,"2,331",722,31.0
198515,"28,490","8,926",31.3,"9,545","4,157",43.6,"16,670","4,052",24.3,"2,273",717,31.5
198416,"28,090","9,490",33.8,"9,480","4,413",46.6,"16,370","4,368",26.7,"2,238",710,31.7
1983,"27,680","9,882",35.7,"9,417","4,398",46.7,"16,070","4,694",29.2,"2,197",791,36.0
1982,"27,220","9,697",35.6,"9,400","4,472",47.6,"15,690","4,415",28.1,"2,124",811,38.2
198117,"26,830","9,173",34.2,"9,374","4,237",45.2,"15,360","4,117",26.8,"2,102",820,39.0
1980,"26,410","8,579",32.5,"9,368","3,961",42.3,"14,990","3,835",25.6,"2,054",783,38.1
197918,"25,940","8,050",31.0,"9,307","3,833",41.2,"14,600","3,478",23.8,"2,040",740,36.2
1978,"24,960","7,625",30.6,"9,229","3,830",41.5,"13,770","3,133",22.7,"1,954",662,33.9
